iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
THS,VTPO,Sukhothai Airport,Sukhothai,Thailand,Asia/Bangkok,7,U,3939
THU,BGTL,Thule Air Base,Thule,Greenland,America/Thule,-4,E,10
THX,UOTT,Turukhansk Airport,Turukhansk,Russia,Asia/Krasnoyarsk,7,N,8340
THZ,DRRT,Tahoua Airport,Tahoua,Niger,Africa/Niamey,1,N,281
TIA,LATI,Tirana International Airport Mother Teresa,Tirana,Albania,Europe/Tirane,1,E,1190
TID,DAOB,Bou Chekif Airport,Tiaret,Algeria,Africa/Algiers,1,N,225
TIE,HATP,Tippi Airport,Tippi,Ethiopia,Africa/Addis_Ababa,3,U,5684
TIF,OETF,Ta’if Regional Airport,Taif,Saudi Arabia,Asia/Riyadh,3,U,2090
TIH,NTGC,Tikehau Airport,Tikehau,French Polynesia,Pacific/Tahiti,-10,U,1975
TII,OATN,Tarin Kowt Airport,Tarin Kowt,Afghanistan,Asia/Kabul,4.5,U,7499
TIJ,MMTJ,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,America/Tijuana,-8,S,1847
TIK,KTIK,Tinker Air Force Base,Oklahoma City,United States,America/Chicago,-6,A,3525
TIM,WABP,Moses Kilangin Airport,Timika,Indonesia,Asia/Jayapura,9,N,3243
TIN,DAOF,Tindouf Airport,Tindouf,Algeria,Africa/Algiers,1,N,227
TIP,HLLT,Tripoli International Airport,Tripoli,Libya,Africa/Tripoli,2,N,1157
TIQ,PGWT,Tinian International Airport,West Tinian,Northern Mariana Islands,Pacific/Saipan,10,U,2247
TIR,VOTP,Tirupati Airport,Tirupeti,India,Asia/Calcutta,5.5,N,3151
TIU,NZTU,Timaru Airport,Timaru,New Zealand,Pacific/Auckland,12,Z,2035
TIV,LYTV,Tivat Airport,Tivat,Montenegro,Europe/Podgorica,1,E,1743
TIW,KTIW,Tacoma Narrows Airport,Tacoma,United States,America/Los_Angeles,-8,A,8446
TIX,KTIX,Space Coast Regional Airport,Titusville,United States,America/New_York,-5,A,9199
TIY,GQND,Tidjikja Airport,Tidjikja,Mauritania,Africa/Nouakchott,0,N,1090
TIZ,AYTA,Tari Airport,Tari,Papua New Guinea,Pacific/Port_Moresby,10,U,5433
TJA,SLTJ,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,America/La_Paz,-4,U,2768
TJG,WAON,Warukin Airport,Tanjung-Borneo Island,Indonesia,Asia/Makassar,8,N,6210
TJH,RJBT,Tajima Airport,Toyooka,Japan,Asia/Tokyo,9,U,7549
TJI,MHTJ,Trujillo Airport,Trujillo,Honduras,America/Tegucigalpa,-6,U,1777
TJK,LTAW,Tokat Airport,Tokat,Turkey,Europe/Istanbul,3,E,1698
